prefix,Code,Description
Icd10Code,F515,Nightmares
Icd10Code,F518,Other nonorganic sleep disorders
Icd10Code,F519,"Nonorganic sleep disorder, unspecified"
Icd10Code,F52,"Sexual dysfunction, not caused by organic disorder or disease"
Icd10Code,F520,Lack or loss of sexual desire
Icd10Code,F521,Sexual aversion and lack of sexual enjoyment
Icd10Code,F522,Failure of genital response
Icd10Code,F523,Orgasmic dysfunction
Icd10Code,F524,Premature ejaculation
Icd10Code,F525,Nonorganic vaginismus
Icd10Code,F526,Nonorganic dyspareunia
Icd10Code,F527,Excessive sexual drive
Icd10Code,F528,"Other sexual dysfunction, not caused by organic disorder or disease"
Icd10Code,F529,"Unspecified sexual dysfunction, not caused by organic disorder or disease"
Icd10Code,F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified"
Icd10Code,F530,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
Icd10Code,F531,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified"
Icd10Code,F538,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"
Icd10Code,F539,"Puerperal mental disorder, unspecified"
Icd10Code,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
Icd10Code,F55,Abuse of non-dependence-producing substances
Icd10Code,F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
Icd10Code,F60,Specific personality disorders
Icd10Code,F600,Paranoid personality disorder
Icd10Code,F601,Schizoid personality disorder
Icd10Code,F602,Dissocial personality disorder
Icd10Code,F603,Emotionally unstable personality disorder
Icd10Code,F604,Histrionic personality disorder
Icd10Code,F605,Anankastic personality disorder
Icd10Code,F606,Anxious [avoidant] personality disorder
Icd10Code,F607,Dependent personality disorder
Icd10Code,F608,Other specific personality disorders
Icd10Code,F609,"Personality disorder, unspecified"
Icd10Code,F61,Mixed and other personality disorders
Icd10Code,F62,"Enduring personality changes, not attributable to brain damage and disease"
Icd10Code,F620,Enduring personality change after catastrophic experience
Icd10Code,F621,Enduring personality change after psychiatric illness
Icd10Code,F628,Other enduring personality changes
Icd10Code,F629,"Enduring personality change, unspecified"
Icd10Code,F63,Habit and impulse disorders
Icd10Code,F630,Pathological gambling
Icd10Code,F631,Pathological fire-setting [pyromania]
Icd10Code,F632,Pathological stealing [kleptomania]
Icd10Code,F633,Trichotillomania
Icd10Code,F638,Other habit and impulse disorders
Icd10Code,F639,"Habit and impulse disorder, unspecified"
Icd10Code,F64,Gender identity disorders
Icd10Code,F640,Transsexualism
Icd10Code,F641,Dual-role transvestism
Icd10Code,F642,Gender identity disorder of childhood
Icd10Code,F648,Other gender identity disorders
Icd10Code,F649,"Gender identity disorder, unspecified"
Icd10Code,F65,Disorders of sexual preference
Icd10Code,F650,Fetishism
Icd10Code,F651,Fetishistic transvestism
Icd10Code,F652,Exhibitionism
Icd10Code,F653,Voyeurism
Icd10Code,F654,Paedophilia
Icd10Code,F655,Sadomasochism
Icd10Code,F656,Multiple disorders of sexual preference
Icd10Code,F658,Other disorders of sexual preference
Icd10Code,F659,"Disorder of sexual preference, unspecified"
Icd10Code,F66,Psychological and behavioural disorders associated with sexual development and orientation
Icd10Code,F660,Sexual maturation disorder
Icd10Code,F661,Egodystonic sexual orientation
Icd10Code,F662,Sexual relationship disorder
Icd10Code,F668,Other psychosexual development disorders
Icd10Code,F669,"Psychosexual development disorder, unspecified"
Icd10Code,F68,Other disorders of adult personality and behaviour
Icd10Code,F680,Elaboration of physical symptoms for psychological reasons
Icd10Code,F681,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]"
Icd10Code,F688,Other specified disorders of adult personality and behaviour
Icd10Code,F69,Unspecified disorder of adult personality and behaviour
Icd10Code,F70,Mild mental retardation
Icd10Code,F700,"Mild mental retardation: With the statement of no, or minimal, impairment of behaviour"
Icd10Code,F701,Mild mental retardation: Significant impairment of behaviour requiring attention or treatment
Icd10Code,F708,Mild mental retardation: Other impairments of behaviour
Icd10Code,F709,Mild mental retardation: Without mention of impairment of behaviour
Icd10Code,F71,Moderate mental retardation
Icd10Code,F710,"Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour"
Icd10Code,F711,Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment
Icd10Code,F718,Moderate mental retardation: Other impairments of behaviour
Icd10Code,F719,Moderate mental retardation: Without mention of impairment of behaviour
Icd10Code,F72,Severe mental retardation
Icd10Code,F720,"Severe mental retardation: With the statement of no, or minimal, impairment of behaviour"
Icd10Code,F721,Severe mental retardation: Significant impairment of behaviour requiring attention or treatment
Icd10Code,F728,Severe mental retardation: Other impairments of behaviour
Icd10Code,F729,Severe mental retardation: Without mention of impairment of behaviour
Icd10Code,F73,Profound mental retardation
Icd10Code,F730,"Profound mental retardation: With the statement of no, or minimal, impairment of behaviour"
Icd10Code,F731,Profound mental retardation: Significant impairment of behaviour requiring attention or treatment
Icd10Code,F738,Profound mental retardation: Other impairments of behaviour
Icd10Code,F739,Profound mental retardation: Without mention of impairment of behaviour
Icd10Code,F78,Other mental retardation
Icd10Code,F780,"Other mental retardation: With the statement of no, or minimal, impairment of behaviour"
Icd10Code,F781,Other mental retardation: Significant impairment of behaviour requiring attention or treatment
Icd10Code,F788,Other mental retardation: Other impairments of behaviour
Icd10Code,F789,Other mental retardation: Without mention of impairment of behaviour
Icd10Code,F79,Unspecified mental retardation
Icd10Code,F790,"Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour"
Icd10Code,F791,Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment
Icd10Code,F798,Unspecified mental retardation: Other impairments of behaviour
Icd10Code,F799,Unspecified mental retardation: Without mention of impairment of behaviour
Icd10Code,F80,Specific developmental disorders of speech and language
Icd10Code,F800,Specific speech articulation disorder
Icd10Code,F801,Expressive language disorder
Icd10Code,F802,Receptive language disorder
Icd10Code,F803,Acquired aphasia with epilepsy [Landau-Kleffner]
Icd10Code,F808,Other developmental disorders of speech and language
Icd10Code,F809,"Developmental disorder of speech and language, unspecified"
Icd10Code,F81,Specific developmental disorders of scholastic skills
Icd10Code,F810,Specific reading disorder
Icd10Code,F811,Specific spelling disorder
Icd10Code,F812,Specific disorder of arithmetical skills
Icd10Code,F813,Mixed disorder of scholastic skills
Icd10Code,F818,Other developmental disorders of scholastic skills
Icd10Code,F819,"Developmental disorder of scholastic skills, unspecified"
Icd10Code,F82,Specific developmental disorder of motor function
Icd10Code,F83,Mixed specific developmental disorders
Icd10Code,F84,Pervasive developmental disorders
Icd10Code,F840,Childhood autism
Icd10Code,F841,Atypical autism
Icd10Code,F842,Rett syndrome
Icd10Code,F843,Other childhood disintegrative disorder
Icd10Code,F844,Overactive disorder associated with mental retardation and stereotyped movements
Icd10Code,F845,Asperger syndrome
Icd10Code,F848,Other pervasive developmental disorders
Icd10Code,F849,"Pervasive developmental disorder, unspecified"
Icd10Code,F88,Other disorders of psychological development
Icd10Code,F89,Unspecified disorder of psychological development
Icd10Code,F90,Hyperkinetic disorders
Icd10Code,F900,Disturbance of activity and attention
Icd10Code,F901,Hyperkinetic conduct disorder
Icd10Code,F908,Other hyperkinetic disorders
Icd10Code,F909,"Hyperkinetic disorder, unspecified"
Icd10Code,F91,Conduct disorders
Icd10Code,F910,Conduct disorder confined to the family context
Icd10Code,F911,Unsocialized conduct disorder
Icd10Code,F912,Socialized conduct disorder
Icd10Code,F913,Oppositional defiant disorder
Icd10Code,F918,Other conduct disorders
Icd10Code,F919,"Conduct disorder, unspecified"
Icd10Code,F92,Mixed disorders of conduct and emotions
Icd10Code,F920,Depressive conduct disorder
Icd10Code,F928,Other mixed disorders of conduct and emotions
Icd10Code,F929,"Mixed disorder of conduct and emotions, unspecified"
Icd10Code,F93,Emotional disorders with onset specific to childhood
Icd10Code,F930,Separation anxiety disorder of childhood
Icd10Code,F931,Phobic anxiety disorder of childhood
Icd10Code,F932,Social anxiety disorder of childhood
Icd10Code,F933,Sibling rivalry disorder
Icd10Code,F938,Other childhood emotional disorders
Icd10Code,F939,"Childhood emotional disorder, unspecified"
Icd10Code,F94,Disorders of social functioning with onset specific to childhood and adolescence
Icd10Code,F940,Elective mutism
Icd10Code,F941,Reactive attachment disorder of childhood
Icd10Code,F942,Disinhibited attachment disorder of childhood
Icd10Code,F948,Other childhood disorders of social functioning
Icd10Code,F949,"Childhood disorder of social functioning, unspecified"
Icd10Code,F95,Tic disorders
Icd10Code,F950,Transient tic disorder
Icd10Code,F951,Chronic motor or vocal tic disorder
Icd10Code,F952,Combined vocal and multiple motor tic disorder [de la Tourette]
Icd10Code,F958,Other tic disorders
Icd10Code,F959,"Tic disorder, unspecified"
Icd10Code,F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Icd10Code,F980,Nonorganic enuresis
Icd10Code,F981,Nonorganic encopresis
Icd10Code,F982,Feeding disorder of infancy and childhood
Icd10Code,F983,Pica of infancy and childhood
Icd10Code,F984,Stereotyped movement disorders
Icd10Code,F985,Stuttering [stammering]
Icd10Code,F986,Cluttering
Icd10Code,F988,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Icd10Code,F989,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Icd10Code,F99,"Mental disorder, not otherwise specified"
Icd10Code,G00,"Bacterial meningitis, not elsewhere classified"
Icd10Code,G000,Haemophilus meningitis
Icd10Code,G001,Pneumococcal meningitis
Icd10Code,G002,Streptococcal meningitis
Icd10Code,G003,Staphylococcal meningitis
Icd10Code,G008,Other bacterial meningitis
Icd10Code,G009,"Bacterial meningitis, unspecified"
Icd10Code,G01,Meningitis in bacterial diseases classified elsewhere
Icd10Code,G02,Meningitis in other infectious and parasitic diseases classified elsewhere
Icd10Code,G020,Meningitis in viral diseases classified elsewhere
Icd10Code,G021,Meningitis in mycoses
Icd10Code,G028,Meningitis in other specified infectious and parasitic diseases classified elsewhere
Icd10Code,G03,Meningitis due to other and unspecified causes
Icd10Code,G030,Nonpyogenic meningitis
Icd10Code,G031,Chronic meningitis
Icd10Code,G032,Benign recurrent meningitis [Mollaret]
Icd10Code,G038,Meningitis due to other specified causes
Icd10Code,G039,"Meningitis, unspecified"
Icd10Code,G04,"Encephalitis, myelitis and encephalomyelitis"
Icd10Code,G040,Acute disseminated encephalitis
Icd10Code,G041,Tropical spastic paraplegia
Icd10Code,G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
Icd10Code,G048,"Other encephalitis, myelitis and encephalomyelitis"
Icd10Code,G049,"Encephalitis, myelitis and encephalomyelitis, unspecified"
Icd10Code,G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
Icd10Code,G050,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
Icd10Code,G051,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere"
Icd10Code,G052,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
Icd10Code,G058,"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere"
Icd10Code,G06,Intracranial and intraspinal abscess and granuloma
Icd10Code,G060,Intracranial abscess and granuloma
Icd10Code,G061,Intraspinal abscess and granuloma
Icd10Code,G062,"Extradural and subdural abscess, unspecified"
Icd10Code,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
Icd10Code,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
Icd10Code,G09,Sequelae of inflammatory diseases of central nervous system
Icd10Code,G10,Huntington disease
Icd10Code,G11,Hereditary ataxia
Icd10Code,G110,Congenital nonprogressive ataxia
Icd10Code,G111,Early-onset cerebellar ataxia
Icd10Code,G112,Late-onset cerebellar ataxia
Icd10Code,G113,Cerebellar ataxia with defective DNA repair
Icd10Code,G114,Hereditary spastic paraplegia
Icd10Code,G118,Other hereditary ataxias
Icd10Code,G119,"Hereditary ataxia, unspecified"
Icd10Code,G12,Spinal muscular atrophy and related syndromes
Icd10Code,G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
Icd10Code,G121,Other inherited spinal muscular atrophy
Icd10Code,G122,Motor neuron disease
Icd10Code,G128,Other spinal muscular atrophies and related syndromes
Icd10Code,G129,"Spinal muscular atrophy, unspecified"
Icd10Code,G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
Icd10Code,G130,Paraneoplastic neuromyopathy and neuropathy
Icd10Code,G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease
Icd10Code,G132,Systemic atrophy primarily affecting central nervous system in myxoedema
Icd10Code,G138,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere
Icd10Code,G14,Postpolio syndrome
Icd10Code,G20,Parkinson disease
Icd10Code,G21,Secondary parkinsonism
Icd10Code,G210,Malignant neuroleptic syndrome
Icd10Code,G211,Other drug-induced secondary parkinsonism
Icd10Code,G212,Secondary parkinsonism due to other external agents
Icd10Code,G213,Postencephalitic parkinsonism
Icd10Code,G214,Vascular parkinsonism
Icd10Code,G218,Other secondary parkinsonism
Icd10Code,G219,"Secondary parkinsonism, unspecified"
Icd10Code,G22,Parkinsonism in diseases classified elsewhere
Icd10Code,G23,Other degenerative diseases of basal ganglia
Icd10Code,G230,Hallervorden-Spatz disease
Icd10Code,G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
Icd10Code,G232,Striatonigral degeneration
Icd10Code,G238,Other specified degenerative diseases of basal ganglia
Icd10Code,G239,"Degenerative disease of basal ganglia, unspecified"
Icd10Code,G24,Dystonia
Icd10Code,G240,Drug-induced dystonia
Icd10Code,G241,Idiopathic familial dystonia
Icd10Code,G242,Idiopathic nonfamilial dystonia
Icd10Code,G243,Spasmodic torticollis
Icd10Code,G244,Idiopathic orofacial dystonia
Icd10Code,G245,Blepharospasm
Icd10Code,G248,Other dystonia
Icd10Code,G249,"Dystonia, unspecified"
Icd10Code,G25,Other extrapyramidal and movement disorders
Icd10Code,G250,Essential tremor
Icd10Code,G251,Drug-induced tremor
Icd10Code,G252,Other specified forms of tremor
Icd10Code,G253,Myoclonus
Icd10Code,G254,Drug-induced chorea
Icd10Code,G255,Other chorea
Icd10Code,G256,Drug-induced tics and other tics of organic origin
Icd10Code,G258,Other specified extrapyramidal and movement disorders
Icd10Code,G259,"Extrapyramidal and movement disorder, unspecified"
Icd10Code,G26,Extrapyramidal and movement disorders in diseases classified elsewhere
Icd10Code,G30,Alzheimer disease
Icd10Code,G300,Alzheimer disease with early onset
Icd10Code,G301,Alzheimer disease with late onset
Icd10Code,G308,Other Alzheimer disease
Icd10Code,G309,"Alzheimer disease, unspecified"
Icd10Code,G31,"Other degenerative diseases of nervous system, not elsewhere classified"
Icd10Code,G310,Circumscribed brain atrophy
Icd10Code,G311,"Senile degeneration of brain, not elsewhere classified"
Icd10Code,G312,Degeneration of nervous system due to alcohol
Icd10Code,G318,Other specified degenerative diseases of nervous system
Icd10Code,G319,"Degenerative disease of nervous system, unspecified"
Icd10Code,G32,Other degenerative disorders of nervous system in diseases classified elsewhere
Icd10Code,G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere
Icd10Code,G328,Other specified degenerative disorders of nervous system in diseases classified elsewhere
Icd10Code,G35,Multiple sclerosis
Icd10Code,G36,Other acute disseminated demyelination
Icd10Code,G360,Neuromyelitis optica [Devic]
Icd10Code,G361,Acute and subacute haemorrhagic leukoencephalitis [Hurst]
Icd10Code,G368,Other specified acute disseminated demyelination
Icd10Code,G369,"Acute disseminated demyelination, unspecified"
Icd10Code,G37,Other demyelinating diseases of central nervous system
Icd10Code,G370,Diffuse sclerosis
Icd10Code,G371,Central demyelination of corpus callosum
Icd10Code,G372,Central pontine myelinolysis
Icd10Code,G373,Acute transverse myelitis in demyelinating disease of central nervous system
Icd10Code,G374,Subacute necrotizing myelitis
Icd10Code,G375,Concentric sclerosis [Bal�]
Icd10Code,G378,Other specified demyelinating diseases of central nervous system
Icd10Code,G379,"Demyelinating disease of central nervous system, unspecified"
Icd10Code,G40,Epilepsy
Icd10Code,G400,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
Icd10Code,G401,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
Icd10Code,G402,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
Icd10Code,G403,Generalized idiopathic epilepsy and epileptic syndromes
Icd10Code,G404,Other generalized epilepsy and epileptic syndromes
Icd10Code,G405,Special epileptic syndromes
Icd10Code,G406,"Grand mal seizures, unspecified (with or without petit mal)"
Icd10Code,G407,"Petit mal, unspecified, without grand mal seizures"
Icd10Code,G408,Other epilepsy
Icd10Code,G409,"Epilepsy, unspecified"
Icd10Code,G41,Status epilepticus
Icd10Code,G410,Grand mal status epilepticus
Icd10Code,G411,Petit mal status epilepticus
Icd10Code,G412,Complex partial status epilepticus
Icd10Code,G418,Other status epilepticus
Icd10Code,G419,"Status epilepticus, unspecified"
Icd10Code,G43,Migraine
Icd10Code,G430,Migraine without aura [common migraine]
Icd10Code,G431,Migraine with aura [classical migraine]
Icd10Code,G432,Status migrainosus
Icd10Code,G433,Complicated migraine
Icd10Code,G438,Other migraine
Icd10Code,G439,"Migraine, unspecified"
Icd10Code,G44,Other headache syndromes
Icd10Code,G440,Cluster headache syndrome
Icd10Code,G441,"Vascular headache, not elsewhere classified"
Icd10Code,G442,Tension-type headache
Icd10Code,G443,Chronic post-traumatic headache
Icd10Code,G444,"Drug-induced headache, not elsewhere classified"
Icd10Code,G448,Other specified headache syndromes
Icd10Code,G45,Transient cerebral ischaemic attacks and related syndromes
Icd10Code,G450,Vertebro-basilar artery syndrome
Icd10Code,G451,Carotid artery syndrome (hemispheric)
Icd10Code,G452,Multiple and bilateral precerebral artery syndromes
Icd10Code,G453,Amaurosis fugax
Icd10Code,G454,Transient global amnesia
Icd10Code,G458,Other transient cerebral ischaemic attacks and related syndromes
Icd10Code,G459,"Transient cerebral ischaemic attack, unspecified"
Icd10Code,G46,Vascular syndromes of brain in cerebrovascular diseases
Icd10Code,G460,Middle cerebral artery syndrome
Icd10Code,G461,Anterior cerebral artery syndrome
Icd10Code,G462,Posterior cerebral artery syndrome
Icd10Code,G463,Brain stem stroke syndrome
Icd10Code,G464,Cerebellar stroke syndrome
Icd10Code,G465,Pure motor lacunar syndrome
Icd10Code,G466,Pure sensory lacunar syndrome
Icd10Code,G467,Other lacunar syndromes
Icd10Code,G468,Other vascular syndromes of brain in cerebrovascular diseases
Icd10Code,G47,Sleep disorders
Icd10Code,G470,Disorders of initiating and maintaining sleep [insomnias]
Icd10Code,G471,Disorders of excessive somnolence [hypersomnias]
Icd10Code,G472,Disorders of the sleep-wake schedule
Icd10Code,G473,Sleep apnoea
Icd10Code,G474,Narcolepsy and cataplexy
Icd10Code,G478,Other sleep disorders
Icd10Code,G479,"Sleep disorder, unspecified"
Icd10Code,G50,Disorders of trigeminal nerve
Icd10Code,G500,Trigeminal neuralgia
Icd10Code,G501,Atypical facial pain
Icd10Code,G508,Other disorders of trigeminal nerve
Icd10Code,G509,"Disorder of trigeminal nerve, unspecified"
Icd10Code,G51,Facial nerve disorders
Icd10Code,G510,Bell palsy
Icd10Code,G511,Geniculate ganglionitis
Icd10Code,G512,Melkersson syndrome
Icd10Code,G513,Clonic hemifacial spasm
Icd10Code,G514,Facial myokymia
Icd10Code,G518,Other disorders of facial nerve
Icd10Code,G519,"Disorder of facial nerve, unspecified"
Icd10Code,G52,Disorders of other cranial nerves
Icd10Code,G520,Disorders of olfactory nerve
Icd10Code,G521,Disorders of glossopharyngeal nerve
Icd10Code,G522,Disorders of vagus nerve
Icd10Code,G523,Disorders of hypoglossal nerve
Icd10Code,G527,Disorders of multiple cranial nerves
Icd10Code,G528,Disorders of other specified cranial nerves
Icd10Code,G529,"Cranial nerve disorder, unspecified"
Icd10Code,G53,Cranial nerve disorders in diseases classified elsewhere
Icd10Code,G530,Postzoster neuralgia
Icd10Code,G531,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere
Icd10Code,G532,Multiple cranial nerve palsies in sarcoidosis
Icd10Code,G533,Multiple cranial nerve palsies in neoplastic disease
Icd10Code,G538,Other cranial nerve disorders in other diseases classified elsewhere
Icd10Code,G54,Nerve root and plexus disorders
Icd10Code,G540,Brachial plexus disorders
Icd10Code,G541,Lumbosacral plexus disorders
Icd10Code,G542,"Cervical root disorders, not elsewhere classified"
Icd10Code,G543,"Thoracic root disorders, not elsewhere classified"
Icd10Code,G544,"Lumbosacral root disorders, not elsewhere classified"
Icd10Code,G545,Neuralgic amyotrophy
Icd10Code,G546,Phantom limb syndrome with pain
Icd10Code,G547,Phantom limb syndrome without pain
Icd10Code,G548,Other nerve root and plexus disorders
Icd10Code,G549,"Nerve root and plexus disorder, unspecified"
Icd10Code,G55,Nerve root and plexus compressions in diseases classified elsewhere
Icd10Code,G550,Nerve root and plexus compressions in neoplastic disease
Icd10Code,G551,Nerve root and plexus compressions in intervertebral disc disorders
Icd10Code,G552,Nerve root and plexus compressions in spondylosis
Icd10Code,G553,Nerve root and plexus compressions in other dorsopathies
Icd10Code,G558,Nerve root and plexus compressions in other diseases classified elsewhere
Icd10Code,G56,Mononeuropathies of upper limb
Icd10Code,G560,Carpal tunnel syndrome
Icd10Code,G561,Other lesions of median nerve
Icd10Code,G562,Lesion of ulnar nerve
Icd10Code,G563,Lesion of radial nerve
Icd10Code,G564,Causalgia
Icd10Code,G568,Other mononeuropathies of upper limb
Icd10Code,G569,"Mononeuropathy of upper limb, unspecified"
Icd10Code,G57,Mononeuropathies of lower limb
Icd10Code,G570,Lesion of sciatic nerve
Icd10Code,G571,Meralgia paraesthetica
Icd10Code,G572,Lesion of femoral nerve
Icd10Code,G573,Lesion of lateral popliteal nerve
Icd10Code,G574,Lesion of medial popliteal nerve
Icd10Code,G575,Tarsal tunnel syndrome
Icd10Code,G576,Lesion of plantar nerve
Icd10Code,G578,Other mononeuropathies of lower limb
Icd10Code,G579,"Mononeuropathy of lower limb, unspecified"
Icd10Code,G58,Other mononeuropathies
Icd10Code,G580,Intercostal neuropathy
Icd10Code,G587,Mononeuritis multiplex
Icd10Code,G588,Other specified mononeuropathies
Icd10Code,G589,"Mononeuropathy, unspecified"
Icd10Code,G59,Mononeuropathy in diseases classified elsewhere
Icd10Code,G590,Diabetic mononeuropathy
Icd10Code,G598,Other mononeuropathies in diseases classified elsewhere
Icd10Code,G60,Hereditary and idiopathic neuropathy
Icd10Code,G600,Hereditary motor and sensory neuropathy
Icd10Code,G601,Refsum disease
Icd10Code,G602,Neuropathy in association with hereditary ataxia
Icd10Code,G603,Idiopathic progressive neuropathy
Icd10Code,G608,Other hereditary and idiopathic neuropathies
Icd10Code,G609,"Hereditary and idiopathic neuropathy, unspecified"
Icd10Code,G61,Inflammatory polyneuropathy
Icd10Code,G610,Guillain-Barr� syndrome
Icd10Code,G611,Serum neuropathy
Icd10Code,G618,Other inflammatory polyneuropathies
Icd10Code,G619,"Inflammatory polyneuropathy, unspecified"
Icd10Code,G62,Other polyneuropathies
Icd10Code,G620,Drug-induced polyneuropathy
Icd10Code,G621,Alcoholic polyneuropathy
Icd10Code,G622,Polyneuropathy due to other toxic agents
Icd10Code,G628,Other specified polyneuropathies
Icd10Code,G629,"Polyneuropathy, unspecified"
Icd10Code,G63,Polyneuropathy in diseases classified elsewhere
Icd10Code,G630,Polyneuropathy in infectious and parasitic diseases classified elsewhere
Icd10Code,G631,Polyneuropathy in neoplastic disease
Icd10Code,G632,Diabetic polyneuropathy
Icd10Code,G633,Polyneuropathy in other endocrine and metabolic diseases
Icd10Code,G634,Polyneuropathy in nutritional deficiency
Icd10Code,G635,Polyneuropathy in systemic connective tissue disorders
Icd10Code,G636,Polyneuropathy in other musculoskeletal disorders
Icd10Code,G638,Polyneuropathy in other diseases classified elsewhere
Icd10Code,G64,Other disorders of peripheral nervous system
Icd10Code,G70,Myasthenia gravis and other myoneural disorders
Icd10Code,G700,Myasthenia gravis
Icd10Code,G701,Toxic myoneural disorders
Icd10Code,G702,Congenital and developmental myasthenia
Icd10Code,G708,Other specified myoneural disorders
Icd10Code,G709,"Myoneural disorder, unspecified"
Icd10Code,G71,Primary disorders of muscles
Icd10Code,G710,Muscular dystrophy
Icd10Code,G711,Myotonic disorders
Icd10Code,G712,Congenital myopathies
Icd10Code,G713,"Mitochondrial myopathy, not elsewhere classified"
Icd10Code,G718,Other primary disorders of muscles
Icd10Code,G719,"Primary disorder of muscle, unspecified"
Icd10Code,G72,Other myopathies
Icd10Code,G720,Drug-induced myopathy
Icd10Code,G721,Alcoholic myopathy
Icd10Code,G722,Myopathy due to other toxic agents
Icd10Code,G723,Periodic paralysis
Icd10Code,G724,"Inflammatory myopathy, not elsewhere classified"
Icd10Code,G728,Other specified myopathies
Icd10Code,G729,"Myopathy, unspecified"
Icd10Code,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
Icd10Code,G730,Myasthenic syndromes in endocrine diseases
Icd10Code,G731,Lambert-Eaton syndrome
Icd10Code,G732,Other myasthenic syndromes in neoplastic disease
Icd10Code,G733,Myasthenic syndromes in other diseases classified elsewhere
Icd10Code,G734,Myopathy in infectious and parasitic diseases classified elsewhere
Icd10Code,G735,Myopathy in endocrine diseases
Icd10Code,G736,Myopathy in metabolic diseases
Icd10Code,G737,Myopathy in other diseases classified elsewhere
Icd10Code,G80,Cerebral palsy
Icd10Code,G800,Spastic quadriplegic cerebral palsy
Icd10Code,G801,Spastic diplegic cerebral palsy
Icd10Code,G802,Spastic hemiplegic cerebral palsy
Icd10Code,G803,Dyskinetic cerebral palsy
Icd10Code,G804,Ataxic cerebral palsy
Icd10Code,G808,Other cerebral palsy
Icd10Code,G809,"Cerebral palsy, unspecified"
Icd10Code,G81,Hemiplegia
Icd10Code,G810,Flaccid hemiplegia
Icd10Code,G811,Spastic hemiplegia
Icd10Code,G819,"Hemiplegia, unspecified"
Icd10Code,G82,Paraplegia and tetraplegia
Icd10Code,G820,Flaccid paraplegia
Icd10Code,G821,Spastic paraplegia
Icd10Code,G822,"Paraplegia, unspecified"
Icd10Code,G823,Flaccid tetraplegia
Icd10Code,G824,Spastic tetraplegia
Icd10Code,G825,"Tetraplegia, unspecified"
Icd10Code,G83,Other paralytic syndromes
Icd10Code,G830,Diplegia of upper limbs
Icd10Code,G831,Monoplegia of lower limb
Icd10Code,G832,Monoplegia of upper limb
Icd10Code,G833,"Monoplegia, unspecified"
Icd10Code,G834,Cauda equina syndrome
Icd10Code,G838,Other specified paralytic syndromes
Icd10Code,G839,"Paralytic syndrome, unspecified"
Icd10Code,G90,Disorders of autonomic nervous system
Icd10Code,G900,Idiopathic peripheral autonomic neuropathy
Icd10Code,G901,Familial dysautonomia [Riley-Day]
Icd10Code,G902,Horner syndrome
Icd10Code,G903,Multi-system degeneration
Icd10Code,G904,Autonomic dysreflexia
Icd10Code,G908,Other disorders of autonomic nervous system
Icd10Code,G909,"Disorder of autonomic nervous system, unspecified"
Icd10Code,G91,Hydrocephalus
Icd10Code,G910,Communicating hydrocephalus
Icd10Code,G911,Obstructive hydrocephalus
Icd10Code,G912,Normal-pressure hydrocephalus
Icd10Code,G913,"Post-traumatic hydrocephalus, unspecified"
Icd10Code,G918,Other hydrocephalus
Icd10Code,G919,"Hydrocephalus, unspecified"
Icd10Code,G92,Toxic encephalopathy
Icd10Code,G93,Other disorders of brain
Icd10Code,G930,Cerebral cysts
Icd10Code,G931,"Anoxic brain damage, not elsewhere classified"
Icd10Code,G932,Benign intracranial hypertension
Icd10Code,G933,Postviral fatigue syndrome
Icd10Code,G934,"Encephalopathy, unspecified"
Icd10Code,G935,Compression of brain
Icd10Code,G936,Cerebral oedema
Icd10Code,G937,Reye syndrome
Icd10Code,G938,Other specified disorders of brain
